end_time,prob
1.176,0.0717
1.384,0.0718
1.592,0.0722
1.799,0.0719
2.007,0.0732
2.215,0.0770
2.422,0.0767
2.630,0.0766
2.837,0.0760
3.045,0.0745
3.253,0.0749
3.460,0.0743
3.668,0.0735
3.875,0.0731
4.083,0.0732
4.291,0.0735
4.498,0.0734
4.706,0.0734
4.913,0.0737
5.121,0.0734
5.329,0.0730
5.536,0.0736
5.744,0.0740
5.952,0.0737
6.159,0.0731
6.367,0.0736
6.574,0.0751
6.782,0.0743
6.990,0.0744
7.197,0.0746
7.405,0.0755
7.612,0.0783
7.820,0.0775
8.028,0.0765
8.235,0.0761
8.443,0.0759
8.651,0.0767
8.858,0.0758
9.066,0.0753
9.273,0.0743
9.481,0.0745
9.689,0.0745
9.896,0.0735
10.104,0.0735
10.311,0.0732
10.519,0.0738
10.727,0.0745
10.934,0.0745
11.142,0.0751
11.349,0.0763
11.557,0.0768
11.765,0.0751
11.972,0.0736
12.180,0.0753
12.388,0.0769
12.595,0.0767
12.803,0.0760
13.010,0.0790
13.218,0.0939
13.426,0.0832
13.633,0.0810
13.841,0.0804
14.048,0.0828
14.256,0.0794
14.464,0.0781
14.671,0.0793
14.879,0.0784
15.087,0.0784
15.294,0.0798
15.502,0.0787
15.709,0.0777
15.917,0.0764
16.125,0.0764
16.332,0.0745
16.540,0.0743
16.747,0.0761
16.955,0.0736
17.163,0.0755
17.370,0.0742
17.578,0.0794
17.785,0.0832
17.993,0.0891
18.201,0.0875
18.408,0.0878
18.616,0.0831
18.824,0.1742
19.031,0.0817
19.239,0.1010
19.446,0.9832
19.654,0.9867
19.862,0.9903
20.069,0.9906
20.277,0.9914
20.484,0.9909
20.692,0.9914
20.900,0.9914
21.107,0.9914
21.315,0.9906
21.522,0.9906
21.730,0.9908
21.938,0.9859
22.145,0.1088
22.353,0.0845
22.561,0.0863
22.768,0.0809
22.976,0.0792
23.183,0.1871
23.391,0.9892
23.599,0.9897
23.806,0.9893
24.014,0.9898
24.221,0.9903
24.429,0.9892
24.637,0.9890
24.844,0.9892
25.052,0.9879
25.260,0.9860
25.467,0.9858
25.675,0.9855
25.882,0.9766
26.090,0.9483
26.298,0.9563
26.505,0.0957
26.713,0.0895
26.920,0.1248
27.128,0.8212
27.336,0.1021
27.543,0.0843
27.751,0.0799
27.958,0.0744
28.166,0.0772
28.374,0.0784
28.581,0.0884
28.789,0.0837
28.997,0.0783
29.204,0.0856
29.412,0.0786
29.619,0.0818
29.827,0.1007
30.035,0.0828
30.242,0.0958
30.450,0.0817
30.657,0.0891
30.865,0.0797
31.073,0.0798
31.280,0.0797
31.488,0.0780
31.696,0.0889
31.903,0.0884
32.111,0.1174
32.318,0.0803
32.526,0.0772
32.734,0.0840
32.941,0.0792
33.149,0.0769
33.356,0.0766
33.564,0.0730
33.772,0.0735
33.979,0.0740
34.187,0.0736
34.394,0.0749
34.602,0.0812
34.810,0.0794
35.017,0.0723
35.225,0.0706
35.433,0.0728
35.640,0.0686
35.848,0.0727
36.055,0.0721
36.263,0.0747
36.471,0.0708
36.678,0.0725
36.886,0.0754
37.093,0.0766
37.301,0.0720
37.509,0.0741
37.716,0.0781
37.924,0.0748
38.131,0.0803
38.339,0.0743
38.547,0.0741
38.754,0.0716
38.962,0.0776
39.170,0.0744
39.377,0.0792
39.585,0.0778
39.792,0.0772
40.000,0.0783
